size,horizon,delta,algorithm,trial,objective,risk,time_s,n,iterations,complete,constrained_pomdp_commit,raostar_commit
5,3,0.2,RAO*,16,8.241031249999999,0.18432793332202302,0.03528475493658334,142,13,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,DARP-HILP,17,8.155624999999999,0.144375,0.0400483189150691,160,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,RAO*,17,8.241031249999999,0.18432793332202302,0.03108834906015545,142,13,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,DARP-HILP,18,8.155624999999999,0.144375,0.047319767996668816,160,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,RAO*,18,8.241031249999999,0.18432793332202302,0.03190757194533944,142,13,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,DARP-HILP,19,8.155624999999999,0.144375,0.04577653296291828,160,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,RAO*,19,8.241031249999999,0.18432793332202302,0.04389610793441534,142,13,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,DARP-HILP,20,8.155624999999999,0.144375,0.06106494599953294,160,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,RAO*,20,8.241031249999999,0.18432793332202302,0.06147354899439961,142,13,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,DARP-HILP,21,8.155624999999999,0.144375,0.04642299807164818,160,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,RAO*,21,8.241031249999999,0.18432793332202302,0.03319952997844666,142,13,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,DARP-HILP,22,8.155624999999999,0.144375,0.04996237996965647,160,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,RAO*,22,8.241031249999999,0.18432793332202302,0.04117491899523884,142,13,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,DARP-HILP,23,8.155624999999999,0.144375,0.052130118012428284,160,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
